moa_class,term,overlap,fdr,leading_edge_genes
Metabolic,Drug metabolism,3/14,0.0216,"MGST1, ALDH3A1, CES1"
Proteasome/protein,Fluid shear stress and atherosclerosis,4/37,0.0523,"TP53, SDC4, NQO1, CAV1"
Epigenetic,Ras signaling pathway,4/41,0.0795,"EGFR, EPHA2, FGF2, PLAAT3"
Metabolic,Metabolism of xenobiotics by cytochrome P450,2/10,0.1003,"MGST1, ALDH3A1"
Metabolic,Glycerolipid metabolism,2/14,0.1003,"AKR1B10, MGLL"
Metabolic,Glutathione metabolism,2/16,0.1003,"MGST1, GPX3"
Metabolic,Ubiquinone and other terpenoid-quinone biosynthesis,1/1,0.1003,NQO1
Metabolic,Biosynthesis of unsaturated fatty acids,1/1,0.1003,FADS2
Metabolic,Fluid shear stress and atherosclerosis,3/37,0.1003,"MGST1, SDC4, NQO1"
Other/Unknown,Arachidonic acid metabolism,2/9,0.1008,"PLAAT3, GPX8"
Epigenetic,Negative Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0042059),3/3,0.0007,"ERRFI1, EGFR, GPRC5A"
Other/Unknown,Hippo Signaling (GO:0035329),3/5,0.0053,"YAP1, AMOTL2, WWTR1"
Receptor,Regulation Of Rho Protein Signal Transduction (GO:0035023),4/19,0.0144,"ADGRG1, ITGA3, MET, EPS8"
Kinase inhibitor,Regulation Of Rho Protein Signal Transduction (GO:0035023),4/19,0.0153,"ADGRG1, ITGA3, MET, EPS8"
Epigenetic,Negative Regulation Of Epidermal Growth Factor-Activated Receptor Activity (GO:0007175),2/2,0.0244,"ERRFI1, GPRC5A"
Epigenetic,Negative Regulation Of ERBB Signaling Pathway (GO:1901185),2/2,0.0244,"ERRFI1, EGFR"
Epigenetic,Regulation Of Immune Response (GO:0050776),3/14,0.0491,"INPP5D, SPN, TGFB2"
Epigenetic,Negative Regulation Of Protein Autophosphorylation (GO:0031953),2/3,0.0491,"ERRFI1, CAV1"
Epigenetic,Positive Regulation Of miRNA Transcription (GO:1902895),3/19,0.0512,"EGFR, FGF2, TGFB2"
Epigenetic,Positive Regulation Of miRNA Metabolic Process (GO:2000630),3/19,0.0512,"EGFR, FGF2, TGFB2"
Other/Unknown,Signaling By Hippo R-HSA-2028269,3/5,0.0018,"YAP1, AMOTL2, WWTR1"
Epigenetic,Acyl Chain Remodelling Of PI R-HSA-1482922,2/2,0.0102,"PLAAT3, PLBD1"
Epigenetic,Acyl Chain Remodelling Of PC R-HSA-1482788,2/2,0.0102,"PLAAT3, PLBD1"
Other/Unknown,YAP1- And WWTR1 (TAZ)-stimulated Gene Expression R-HSA-2032785,2/3,0.0178,"YAP1, WWTR1"
Other/Unknown,RUNX3 Regulates YAP1-mediated Transcription R-HSA-8951671,2/3,0.0178,"YAP1, WWTR1"
Epigenetic,Acyl Chain Remodelling Of PE R-HSA-1482839,2/3,0.0203,"PLAAT3, PLBD1"
Other/Unknown,RUNX2 Regulates Osteoblast Differentiation R-HSA-8940973,2/7,0.0911,"YAP1, WWTR1"
Other/Unknown,RUNX2 Regulates Bone Development R-HSA-8941326,2/9,0.1027,"YAP1, WWTR1"
Other/Unknown,Syndecan Interactions R-HSA-3000170,2/9,0.1027,"THBS1, SDC4"
Other/Unknown,EGR2 And SOX10-mediated Initiation Of Schwann Cell Myelination R-HSA-9619665,2/10,0.1093,"YAP1, WWTR1"
