k_features,strategy,omics_layer,mean_pearson,mean_spearman,mean_rmse,mean_mae,mean_r2,n_runs
1000,single_omics,expr,0.5599877057887185,0.544665914121294,0.17142590673506158,0.13653756413195872,0.3003056413240923,60
500,metadata_augmented,expr_plus_lineage,0.5581949753878409,0.5366576790061348,0.17184735410455235,0.13673908776893598,0.29744607700526976,60
500,single_omics,expr,0.5579232561477547,0.5363967315280783,0.17191254706644749,0.1365967029756926,0.2969735652684759,60
1000,metadata_augmented,expr_plus_lineage,0.5578467545820635,0.5419131578584495,0.17173244916341918,0.13687069522332557,0.2975462659373496,60
250,metadata_augmented,expr_plus_lineage,0.554218429292267,0.5278766807077093,0.1724189240997272,0.1370377694727137,0.2927034294200481,60
250,single_omics,expr,0.5540030040342483,0.5281162980789353,0.17249410090289957,0.1370816062530461,0.29215587326588227,60
250,signal_fusion,signal_multiomics,0.5465151859582207,0.5175014786868677,0.1733215791553553,0.1380609059845261,0.28521973214231366,60
500,signal_fusion,signal_multiomics,0.5373686411867732,0.5110224067525968,0.1747105211718105,0.13910112668628127,0.2737456963447981,60
250,early_fusion,multiomics,0.535434949312052,0.5148782740359075,0.17577899735081948,0.13906916484220633,0.26357138330255425,60
1000,signal_fusion,signal_multiomics,0.5171092832394361,0.4919199453649793,0.17743767446407308,0.14205762762023105,0.24940944703068121,60
500,early_fusion,multiomics,0.513433201285707,0.5057847238275104,0.17870702216603077,0.14092238024068407,0.23672352339700325,60
1000,early_fusion,multiomics,0.49075020348451986,0.4900485926551457,0.1826405592302755,0.14481101782782388,0.20113255355739915,60
