model_family,strategy,omics_layer,mean_pearson,mean_spearman,mean_r2,mean_rmse,n_folds,rank
XGBoost,single_omics,expr,0.5035523354455008,0.4734360082813537,0.23529937752931743,0.1795130405236179,60,1
XGBoost,metadata_augmented,expr_plus_lineage,0.5016343085215514,0.4738086604501543,0.23355233528043665,0.1796898269659063,60,2
XGBoost,signal_fusion,signal_multiomics,0.4977080231152771,0.46743351320880405,0.22681378457443693,0.18048517336973738,60,3
XGBoost,late_fusion,multiomics,0.4957390610780953,0.46401184668605044,0.14176826577896312,0.19042722301070147,60,4
LightGBM,single_omics,expr,0.49430512133376747,0.46809995117661257,0.23136741841162542,0.17977408044976298,60,5
LightGBM,signal_fusion,signal_multiomics,0.4927830134407633,0.46732431498248644,0.22737551170536527,0.1804096606972929,60,6
LightGBM,metadata_augmented,expr_plus_lineage,0.49260063758116535,0.4672502007471462,0.2302731098860697,0.17989955940721064,60,7
XGBoost,signal_fusion_lineage,signal_multiomics_plus_lineage,0.4922107874204588,0.46314193538658005,0.22269874455734084,0.1809389252196165,60,8
XGBoost,early_fusion_lineage,multiomics_plus_lineage,0.4921831714089151,0.4606132545458587,0.22370280540253829,0.18086150264075573,60,9
XGBoost,early_fusion,multiomics,0.4920998745610552,0.46348462741441276,0.2234047222928653,0.18087269346151083,60,10
