model_family,strategy,omics_layer,pearson_5-omics (389),r2_5-omics (389),rmse_5-omics (389),n_folds_5-omics (389),pearson_no-prot (508),r2_no-prot (508),rmse_no-prot (508),n_folds_no-prot (508),pearson_no-prot-no-meth (574),r2_no-prot-no-meth (574),rmse_no-prot-no-meth (574),n_folds_no-prot-no-meth (574),delta_pearson_no-prot_vs_5-omics,delta_pearson_no-meth_vs_no-prot,delta_pearson_no-meth_vs_5-omics,delta_r2_no-meth_vs_5-omics,mean_pearson_all_cohorts
RidgeSelectK,signal_fusion,signal_multiomics,0.5171092832394361,0.2494094470306812,0.17743767446407302,60,0.5621255306720907,0.3105724602414941,0.17170114889964355,60.0,0.6042387570461382,0.3621352539623003,0.16712119197211897,60.0,0.045016247432654644,0.04211322637404746,0.0871294738067021,0.1127258069316191,0.5611578569858883
RidgeCV,single_omics,expr,0.5599877057887185,0.30030564132409227,0.17142590673506153,60,0.5856378402213721,0.33842509436497537,0.16802037173406237,60.0,0.6042387570461382,0.3621352539623003,0.16712119197211897,60.0,0.025650134432653626,0.018600916824766056,0.04425105125741968,0.06182961263820802,0.5832881010187428
RidgeSelectK,single_omics,expr,0.5599877057887185,0.30030564132409227,0.17142590673506153,60,0.5856378402213721,0.33842509436497537,0.16802037173406237,60.0,0.6042387570461382,0.3621352539623003,0.16712119197211897,60.0,0.025650134432653626,0.018600916824766056,0.04425105125741968,0.06182961263820802,0.5832881010187428
RidgeCV,signal_fusion,signal_multiomics,0.5228013752864938,0.25561334146219516,0.17682251200426585,60,0.562916051221666,0.3109111725108457,0.17145840065222398,60.0,0.6042387570461382,0.3621352539623003,0.16712119197211897,60.0,0.04011467593517215,0.04132270582447217,0.08143738175964432,0.10652191250010512,0.5633187278514327
RidgeCV,metadata_augmented,expr_plus_lineage,0.5583751515073305,0.2981166956612475,0.17167544010054375,60,0.584585576114709,0.33668836296830656,0.16824668284482275,60.0,0.6031438099672938,0.36052978349567566,0.16733232097704315,60.0,0.026210424607378435,0.018558233852584816,0.04476865845996325,0.06241308783442817,0.5820348458631112
RidgeCV,signal_fusion_lineage,signal_multiomics_plus_lineage,0.5219943354121174,0.25451461806092057,0.17694508299299566,60,0.5628004215598078,0.3104470502227264,0.171525026550889,60.0,0.6031438099672938,0.36052978349567566,0.16733232097704315,60.0,0.040806086147690435,0.04034338840748597,0.0811494745551764,0.10601516543475509,0.5626461889797397
RidgeSelectK,signal_fusion_lineage,signal_multiomics_plus_lineage,0.5171809225907327,0.24951386496410696,0.17743934772692202,60,0.5619155223018003,0.31028760179833575,0.1716977426681795,60.0,0.6031089497599175,0.36066375639956083,0.16731807686066336,60.0,0.044734599711067635,0.04119342745811716,0.0859280271691848,0.11114989143545387,0.5607351315508168
RidgeSelectK,metadata_augmented,expr_plus_lineage,0.5578467545820635,0.2975462659373495,0.1717324491634191,60,0.5845009929670585,0.336589125742338,0.1682660630528938,60.0,0.6031089497599175,0.36066375639956083,0.16731807686066336,60.0,0.026654238384995033,0.018607956792858982,0.045262195177854014,0.06311749046221132,0.5818188991030131
RidgeSelectK+PositiveStack,learned_late_fusion,multiomics,0.5561179666878069,0.29697566142182447,0.17181470507703914,60,0.5828137254493312,0.33384548246179363,0.1686549737976873,60.0,0.6029571830831008,0.36039555894278796,0.16734334648868912,60.0,0.026695758761524302,0.020143457633769568,0.04683921639529387,0.0634198975209635,0.580629625073413
RidgeCV+PositiveStack,learned_late_fusion,multiomics,0.5561179666878069,0.29697566142182447,0.17181470507703914,60,0.5828137254493312,0.33384548246179363,0.1686549737976873,60.0,0.6029571830831008,0.36039555894278796,0.16734334648868912,60.0,0.026695758761524302,0.020143457633769568,0.04683921639529387,0.0634198975209635,0.580629625073413
